 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
115	185.736	185.736	184.145	181.191	185.514	183.838	185.858	183.533	186.711	181.891	184.292	186.841	195.474	185.395	186.441	189.022	186.739	185.249	190.101	183.674	189.368	188.369	183.668	182.309
116	183.558	183.558	183.238	181.909	184.030	181.163	183.124	184.825	187.455	181.465	187.380	182.048	188.199	188.673	185.543	189.316	182.187	185.781	188.258	185.435	189.152	188.945	186.459	186.359
117	181.891	181.891	178.523	179.395	187.389	183.553	178.037	180.713	182.191	181.931	179.763	175.541	188.121	192.183	185.528	185.989	186.522	184.519	187.274	189.219	188.374	185.997	181.110	183.141
118	186.772	186.772	179.037	178.526	182.633	186.787	185.917	184.784	184.208	185.146	180.858	178.988	188.675	184.397	189.617	185.611	186.470	186.389	183.732	188.385	191.431	192.001	185.900	181.695
119	184.645	184.645	181.102	182.395	180.763	187.569	185.871	187.357	187.908	188.971	186.161	177.627	190.973	190.404	190.880	191.186	185.916	186.097	182.700	185.589	189.389	190.296	189.791	180.183
120	183.227	183.227	179.607	185.781	183.891	188.025	181.838	179.086	187.968	188.378	177.427	182.041	189.659	184.896	191.152	190.496	183.073	191.795	184.558	185.303	188.933	188.177	190.964	177.726
121	185.481	185.481	185.181	184.189	186.582	189.214	180.431	175.501	193.206	189.586	181.745	183.159	188.483	188.697	193.033	185.613	189.747	188.755	187.032	187.868	187.452	190.520	187.331	182.747
122	185.347	185.347	182.254	185.869	184.672	191.019	174.682	184.211	192.037	185.197	188.453	183.591	189.520	186.785	188.649	189.270	184.740	187.338	187.183	183.133	191.790	185.394	185.273	181.153
123	185.087	185.087	178.023	183.164	187.500	187.874	181.263	181.779	189.132	189.459	183.093	180.024	193.331	186.299	194.825	186.583	184.681	184.417	186.896	193.977	191.114	191.945	188.384	176.594
124	188.184	188.184	177.409	181.618	188.752	193.633	184.338	184.693	190.812	195.591	183.076	190.993	190.956	192.275	197.951	185.929	190.571	183.809	186.044	192.529	192.134	195.632	191.579	184.551
125	183.202	183.202	181.444	183.973	185.614	199.499	186.851	183.631	189.677	195.520	186.215	181.702	192.659	187.617	195.447	190.741	189.008	187.305	186.309	188.854	189.579	182.705	186.893	187.327
126	191.054	191.054	183.369	184.060	185.463	199.805	187.200	185.081	192.009	189.574	190.553	185.120	191.589	187.262	197.542	187.950	193.806	191.771	192.275	194.298	190.913	190.277	183.203	186.269
127	191.056	191.056	188.814	183.197	188.180	196.494	183.309	185.217	189.320	195.894	192.656	189.571	199.658	186.033	192.232	191.916	188.651	188.775	189.994	200.200	187.216	193.557	190.660	184.118
128	187.132	187.132	183.906	182.649	191.108	192.307	183.769	190.803	194.149	203.509	195.010	189.101	199.557	189.127	188.809	194.983	191.563	192.245	190.474	195.013	193.246	192.335	188.947	190.974
