 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
147	205.199	205.199	209.830	211.781	218.277	219.094	215.330	212.770	217.947	211.815	214.660	216.174	215.833	216.604	217.669	213.362	206.149	208.633	210.987
148	204.833	204.833	211.823	217.153	214.436	222.362	217.970	214.059	217.274	215.126	219.021	217.516	226.382	212.919	218.760	208.438	201.341	212.832	211.819
149	212.180	212.180	215.340	216.297	215.440	223.158	217.410	212.132	211.393	211.543	218.182	216.616	213.914	214.852	206.972	209.374	200.747	215.511	209.213
150	202.019	202.019	207.614	208.695	213.956	216.563	219.416	224.000	218.781	218.180	211.925	216.182	217.644	205.917	203.274	212.322	203.873	210.051	208.611
151	194.556	194.556	213.237	212.025	213.810	212.575	219.131	208.499	219.862	219.579	211.155	214.912	208.598	215.459	210.855	208.838	202.689	210.151	204.842
152	203.691	203.691	210.986	208.204	213.099	217.858	217.619	207.689	213.193	217.946	214.313	218.401	210.156	206.592	210.666	209.546	202.986	197.364	198.827
153	204.553	204.553	211.057	212.930	215.106	209.851	224.149	204.885	210.538	214.547	205.443	211.336	208.518	212.627	202.161	208.767	198.547	201.650	199.078
154	205.462	205.462	211.205	208.919	212.795	214.035	213.898	200.204	215.324	214.438	208.862	206.960	202.778	218.859	205.350	211.520	204.342	201.321	198.687
155	199.952	199.952	205.852	202.359	208.438	210.352	204.798	210.633	204.153	204.750	211.498	211.435	207.305	206.782	199.738	200.847	201.189	196.623	203.595
156	475.624	475.624	446.596	442.882	430.206	432.916	427.515	437.656	430.507	423.864	426.317	426.158	415.769	437.148	415.716	411.599	419.959	437.968	399.464
157	461.611	461.611	434.002	447.446	431.557	423.992	433.898	440.921	435.930	409.732	442.358	415.656	419.200	431.686	406.228	418.409	440.699	437.606	406.726
158	474.808	474.808	433.235	440.362	446.942	422.191	429.896	434.140	412.591	416.643	427.100	424.061	430.077	441.145	413.190	410.899	434.814	427.170	411.754
