,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
646,21-01-21_M1_P1_C10,5,20um fibronectin discs & none,298.731370904703,5524.269195510179
645,21-01-21_M1_P1_C10,4,20um fibronectin discs & none,338.279825739543,3134.1962019617304
631,21-01-21_M1_P1_C7,10,20um fibronectin discs & none,206.730318353447,6412.82536100078
644,21-01-21_M1_P1_C10,3,20um fibronectin discs & none,302.627422471456,5388.120308845349
641,21-01-21_M1_P1_C14,10,20um fibronectin discs & none,131.116424827721,13811.6289129118
640,21-01-21_M1_P1_C14,9,20um fibronectin discs & none,113.8350875682,7812.8188210116
639,21-01-21_M1_P1_C14,8,20um fibronectin discs & none,119.240224593096,12760.8141686698
638,21-01-21_M1_P1_C14,7,20um fibronectin discs & none,101.972359138996,9339.870847608921
654,21-01-21_M1_P1_C11,4,20um fibronectin discs & none,287.338631504528,8450.97134009125
636,21-01-21_M1_P1_C14,5,20um fibronectin discs & none,117.605651018844,7452.63428569343
635,21-01-21_M1_P1_C14,4,20um fibronectin discs & none,142.718992132028,6252.000775459611
634,21-01-21_M1_P1_C14,3,20um fibronectin discs & none,164.119564871091,5983.00983947205
633,21-01-21_M1_P1_C14,2,20um fibronectin discs & none,136.333801059057,5525.44099321178
642,21-01-21_M1_P1_C10,1,20um fibronectin discs & none,273.780343067311,6899.92123187315
959,21-01-21_M3_P1_C2,3,20um fibronectin discs & none,248.933390441153,8560.75694354513
1008,21-01-21_M3_P1_C6,12,20um fibronectin discs & none,365.40532525903296,5411.63658704371
961,21-01-21_M3_P1_C2,5,20um fibronectin discs & none,228.010621764083,10007.3541352661
992,21-01-21_M3_P1_C5,8,20um fibronectin discs & none,740.218666833377,788.009489323858
993,21-01-21_M3_P1_C5,9,20um fibronectin discs & none,665.975360316835,932.123056994123
994,21-01-21_M3_P1_C5,10,20um fibronectin discs & none,767.7191023048609,717.577293126456
995,21-01-21_M3_P1_C5,11,20um fibronectin discs & none,669.8572523415551,713.851740294319
997,21-01-21_M3_P1_C6,1,20um fibronectin discs & none,229.22423692200402,6551.888963351899
998,21-01-21_M3_P1_C6,2,20um fibronectin discs & none,184.56801117988,19124.3062569854
999,21-01-21_M3_P1_C6,3,20um fibronectin discs & none,210.14864604016603,13213.365154308998
1000,21-01-21_M3_P1_C6,4,20um fibronectin discs & none,254.803062494535,8231.8256824198
1001,21-01-21_M3_P1_C6,5,20um fibronectin discs & none,266.287500902745,4988.14021373928
991,21-01-21_M3_P1_C5,7,20um fibronectin discs & none,815.256210605567,932.470694719616
1002,21-01-21_M3_P1_C6,6,20um fibronectin discs & none,236.672662870353,7563.680015238449
