 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
137	268.128	268.128	267.934	270.214	264.438	270.591	273.055	262.620	273.808	269.942	279.874	283.727	279.459	276.265	280.107	273.399	276.523
138	273.188	273.188	274.030	267.000	263.594	269.277	267.787	258.617	268.206	266.312	268.268	282.454	280.585	271.429	264.877	269.796	280.974
139	273.360	273.360	260.098	254.131	272.605	267.406	265.361	260.161	254.598	259.843	274.175	269.728	261.903	266.249	269.478	271.873	271.534
140	274.930	274.930	259.375	254.691	263.940	266.079	255.552	257.516	255.244	259.138	271.339	271.724	268.702	270.264	270.038	268.475	267.871
141	270.080	270.080	257.552	261.617	261.888	256.857	263.583	260.434	263.769	264.508	268.983	267.981	280.250	266.183	270.121	262.573	272.606
142	261.889	261.889	258.495	260.363	261.754	259.646	263.780	252.724	261.854	256.234	258.180	271.246	270.579	269.095	265.467	271.837	263.787
143	266.475	266.475	256.808	262.995	266.777	271.699	259.726	246.311	262.469	264.427	277.055	266.348	271.918	270.526	260.536	264.235	257.965
144	260.852	260.852	260.590	256.916	260.076	265.504	259.927	251.252	261.778	259.093	265.677	270.045	262.952	263.133	261.244	263.621	269.062
145	265.721	265.721	257.786	250.067	255.837	265.755	257.659	247.829	260.982	257.667	260.995	258.635	264.363	270.909	262.365	251.998	270.433
146	262.694	262.694	243.371	250.325	256.000	251.341	256.683	252.572	252.106	253.514	261.295	254.475	262.843	257.583	256.714	259.688	263.008
147	263.661	263.661	248.819	244.818	252.703	253.689	258.957	247.507	252.504	257.819	265.612	263.816	265.466	261.698	263.823	256.386	253.923
148	257.226	257.226	247.765	247.318	247.801	257.066	258.045	250.396	252.666	257.309	267.004	266.141	260.327	250.866	257.965	255.940	260.670
149	255.718	255.718	255.799	248.015	243.258	251.490	247.133	244.051	247.025	250.883	254.011	250.790	253.038	256.911	263.388	247.103	261.550
150	259.411	259.411	245.632	247.062	248.306	247.944	253.312	239.016	247.750	246.074	252.450	251.314	255.397	256.002	249.010	246.810	261.964
151	261.360	261.360	250.161	252.044	254.049	249.075	243.658	241.544	245.727	247.892	252.337	257.468	247.753	255.175	248.873	246.872	262.024
152	254.382	254.382	247.382	240.451	254.520	247.084	235.407	244.762	249.763	249.541	257.832	250.696	255.635	259.580	257.094	251.671	262.856
153	250.675	250.675	247.544	241.672	246.715	250.257	250.206	242.135	254.465	251.740	244.409	259.179	247.595	244.955	249.926	257.642	252.479
154	251.966	251.966	243.948	245.638	247.926	247.621	243.258	233.898	244.968	245.756	250.176	253.227	250.048	251.768	244.966	246.950	246.121
155	251.675	251.675	238.930	243.477	253.486	241.867	239.111	234.484	249.658	235.218	249.905	256.207	250.524	254.896	244.233	241.757	246.476
156	247.935	247.935	250.659	242.953	244.241	248.878	245.860	241.281	243.178	241.940	245.081	252.094	247.301	249.784	249.124	244.484	245.701
157	239.334	239.334	250.012	238.723	232.952	244.710	245.010	239.229	245.740	236.429	245.157	240.056	246.075	244.710	252.248	240.384	242.991
158	251.570	251.570	236.953	242.807	240.976	240.851	238.712	234.596	251.253	240.956	241.582	237.481	253.059	244.990	239.817	240.244	238.650
159	251.457	251.457	240.410	237.140	235.593	242.818	236.769	233.488	252.002	241.995	239.569	238.314	243.883	240.175	245.010	242.042	247.668
160	254.225	254.225	244.209	235.726	234.303	240.491	234.613	235.884	241.513	238.207	244.373	236.389	231.318	237.621	232.208	246.266	235.964
161	240.933	240.933	237.853	239.022	229.818	239.594	235.627	233.838	237.125	230.930	243.255	243.122	237.200	241.963	234.785	242.468	240.232
162	236.741	236.741	238.533	236.863	229.009	235.178	239.018	226.522	235.837	233.133	245.568	239.171	236.154	241.913	238.201	237.538	242.798
163	244.503	244.503	240.104	244.565	240.096	240.468	237.100	225.907	236.022	233.046	237.923	238.398	251.543	241.765	238.909	240.333	247.873
164	244.015	244.015	240.716	243.972	239.899	234.000	235.494	237.470	227.514	233.362	232.769	245.375	241.528	238.539	239.165	248.974	237.150
165	243.631	243.631	233.617	236.073	235.641	231.476	237.010	232.862	226.095	230.598	238.279	247.534	237.095	244.027	240.764	233.152	240.093
166	237.107	237.107	235.784	236.904	230.933	230.497	228.616	234.757	228.716	236.339	243.444	241.714	243.760	246.373	241.597	230.840	238.774
167	233.753	233.753	236.210	233.500	232.868	227.319	228.188	236.059	232.017	234.392	240.353	236.904	240.794	235.767	243.312	230.864	233.229
168	282.207	282.207	286.016	286.174	282.635	274.576	275.435	276.038	293.177	283.501	282.445	282.963	272.907	281.865	281.091	266.488	275.700
169	281.982	281.982	280.420	280.165	275.696	271.761	268.887	283.996	276.044	288.590	280.818	294.708	273.453	279.991	282.044	267.651	273.765
170	273.482	273.482	281.753	266.899	263.690	274.318	265.516	275.861	279.338	273.052	275.715	286.569	270.054	276.588	276.603	270.482	278.677
171	270.195	270.195	278.088	267.473	263.586	264.471	271.388	270.858	279.770	270.355	287.022	279.951	267.700	276.918	265.540	267.567	277.903
