;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
314;3T3;aSFL;M450;none;20um fibronectin discs;3;4401.697010795853;372.3256769473357;320.5645784377102;299.95742359293035
315;3T3;aSFL;M450;none;20um fibronectin discs;4;3154.0676262933844;404.3208491529437;337.38051756086;299.95742359293035
316;3T3;aSFL;M450;none;20um fibronectin discs;5;3925.7283891887714;355.0229805807217;301.3793469527;299.95742359293035
317;3T3;aSFL;M450;none;20um fibronectin discs;6;5241.2848438188685;315.23352519885646;291.97218090151455;299.95742359293035
318;3T3;aSFL;M450;none;20um fibronectin discs;7;2831.813213966632;405.2440510440242;363.5775644165601;299.95742359293035
319;3T3;aSFL;M450;none;20um fibronectin discs;8;1668.10392958362;516.4411345887494;404.1137995829904;299.95742359293035
320;3T3;aSFL;M450;none;20um fibronectin discs;9;2862.7250568542754;379.4608661474935;306.974901095055;299.95742359293035
321;3T3;aSFL;M450;none;20um fibronectin discs;10;4086.4977394100174;334.37580689812904;266.59260550929;299.95742359293035
322;3T3;aSFL;M450;none;20um fibronectin discs;11;5734.673964154141;310.02083384099114;258.35290821741046;299.95742359293035
323;3T3;aSFL;M450;none;20um fibronectin discs;12;5791.273437603547;274.65616390923634;233.25124249682997;299.95742359293035
324;3T3;aSFL;M450;none;20um fibronectin discs;13;5491.878052227713;274.3377606417916;249.60129655834956;299.95742359293035
325;3T3;aSFL;M450;none;20um fibronectin discs;14;5911.252043043927;287.2055316995125;250.64447657830533;299.95742359293035
326;3T3;aSFL;M450;none;20um fibronectin discs;15;1244.87847009555;602.9304599734185;427.77003135389486;299.95742359293035
327;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;1;19224.255091407656;155.52642236115307;150.01587335159002;131.07427895417504
328;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;2;33008.28282471151;146.25873618511383;136.8937051561452;131.07427895417504
329;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;3;40060.806957404406;152.34527733509367;133.1991677487349;131.07427895417504
330;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;7;52047.06812189576;143.46987220293244;132.23685918920955;131.07427895417504
331;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;10;38942.44165378814;130.07476451357238;104.42441069567984;133.80753414369065
332;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;14;84368.10311901217;86.60352985521965;104.58391320609962;133.80753414369065
333;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;15;34088.31536923139;105.42438317767612;81.22240380225503;133.80753414369065
334;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;2;9600.44954951572;267.8867210034903;198.73788885706472;217.84262140874444
335;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;3;12729.605977556916;253.01443897880972;202.67345450644507;217.84262140874444
336;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;5;16976.72317774033;286.21316860507994;252.4813721132596;217.84262140874444
337;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;6;17849.76008905331;280.1625662679736;254.2813979101352;217.84262140874444
338;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;7;13035.59877085145;271.20120457117474;228.90727429221988;217.84262140874444
339;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;9;22409.42195966652;238.1165111627872;226.84742527950996;217.84262140874444
340;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;1;8986.883271976469;103.40163026771356;80.14546452910008;116.16324088376496
341;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;2;18733.4827100814;99.47044413557298;78.06122833560448;116.16324088376496
342;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;3;11607.988858869425;114.14455965117688;78.1471106219451;116.16324088376496
343;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;4;10909.195664532754;133.4132432735963;84.82485706134003;116.16324088376496
344;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;5;7722.357847714588;163.41429028791745;116.32301353361936;116.16324088376496
345;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;6;5061.298429184362;211.79030668997223;145.15746714399938;116.16324088376496
346;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;7;5545.244238596978;182.83887787563495;125.17073708011505;116.16324088376496
347;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;8;7077.807288123696;141.4254064138861;102.5793216093748;116.16324088376496
348;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;9;6514.220037596793;167.24813734385938;139.8706428631649;116.16324088376496
349;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;10;6305.60086884;170.5230611814382;131.51695713150002;116.16324088376496
350;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;11;5085.739000877751;225.5157314927608;153.60407640044969;116.16324088376496
351;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;12;5670.241996150194;218.6171552509352;156.86481081709962;116.16324088376496
